review_id,order_id,customer_id,restaurant_id,rating,review_text
1,17336,545,4,1,Good
2,10751,474,38,3,Good
3,5695,781,31,4,Good
4,13533,317,57,2,Good
5,4769,190,89,3,Good
6,95,941,8,2,Good
7,8995,402,31,2,Good
8,19896,531,21,3,Good
9,5793,792,52,1,Good
10,11904,147,33,4,Good
11,3361,14,18,2,Good
12,11707,841,73,4,Good
13,6210,826,47,5,Good
14,7180,684,42,2,Good
15,18462,291,2,3,Good
16,19975,916,36,3,Good
17,8730,544,41,1,Good
18,11262,523,19,5,Good
19,3015,267,25,1,Good
20,14150,486,33,2,Good
21,1218,224,70,4,Good
22,2667,434,11,1,Good
23,8336,675,25,1,Good
24,14862,749,52,1,Good
25,15162,975,59,3,Good
26,15131,46,81,3,Good
27,17001,268,33,1,Good
28,15728,763,66,4,Good
29,15294,531,46,3,Good
30,11729,95,63,5,Good
31,3517,250,9,1,Good
32,18623,410,80,4,Good
33,3144,490,33,2,Good
34,19925,342,75,4,Good
35,9734,501,22,4,Good
36,9846,559,48,4,Good
37,6415,664,2,4,Good
38,8153,33,4,2,Good
39,19823,501,60,5,Good
40,18170,548,67,2,Good
41,6550,181,48,5,Good
42,18227,673,20,5,Good
43,9713,673,1,5,Good
44,13083,285,57,2,Good
45,12642,549,84,4,Good
46,15262,209,24,1,Good
47,3177,719,25,3,Good
48,7674,94,3,2,Good
49,19323,554,87,4,Good
50,1750,99,67,3,Good
51,2387,827,46,4,Good
52,4412,178,80,5,Good
53,11644,860,50,3,Good
54,2771,189,60,1,Good
55,18927,480,94,4,Good
56,1262,877,86,5,Good
57,8568,208,74,3,Good
58,9280,667,58,5,Good
59,18572,392,92,1,Good
60,3873,134,78,1,Good
61,5110,44,9,3,Good
62,6032,504,8,3,Good
63,11411,154,82,1,Good
64,18669,219,1,5,Good
65,6012,221,48,4,Good
66,9068,786,35,3,Good
67,19126,946,51,3,Good
68,5917,763,60,1,Good
69,12920,632,46,5,Good
70,5829,21,41,1,Good
71,13716,892,63,2,Good
72,12773,945,18,5,Good
73,19692,315,77,5,Good
74,6251,402,97,2,Good
75,3532,300,30,2,Good
76,17682,13,26,1,Good
77,15896,53,34,5,Good
78,11148,489,98,1,Good
79,18374,442,74,1,Good
80,3217,380,24,4,Good
81,19089,991,54,5,Good
82,14413,469,42,2,Good
83,9020,553,65,1,Good
84,17845,6,4,1,Good
85,7611,818,33,5,Good
86,6345,724,95,5,Good
87,9151,312,11,5,Good
88,9458,886,90,2,Good
89,18967,444,12,1,Good
90,19128,754,62,3,Good
91,4011,234,34,5,Good
92,14361,761,75,3,Good
93,13736,379,9,3,Good
94,6164,172,100,5,Good
95,17229,284,77,1,Good
96,7808,504,58,2,Good
97,7270,934,29,1,Good
98,1656,581,42,2,Good
99,14933,540,30,2,Good
100,4270,149,78,1,Good
101,15991,784,81,2,Good
102,2335,787,77,1,Good
103,18461,46,78,3,Good
104,4110,811,15,5,Good
105,9451,951,38,4,Good
106,12932,791,70,1,Good
107,3586,25,71,5,Good
108,13974,119,73,4,Good
109,5189,884,95,2,Good
110,258,866,38,3,Good
111,7646,797,16,5,Good
112,12942,718,95,3,Good
113,4706,482,9,4,Good
114,9617,15,58,2,Good
115,16561,195,32,4,Good
116,16491,880,70,4,Good
117,12227,966,9,3,Good
118,1724,82,16,1,Good
119,10668,719,64,2,Good
120,2031,506,16,1,Good
121,533,300,91,1,Good
122,1532,321,90,1,Good
123,14950,293,45,4,Good
124,4394,957,71,2,Good
125,5135,377,46,5,Good
126,5128,955,67,4,Good
127,1888,894,13,3,Good
128,5191,519,90,1,Good
129,16821,357,47,3,Good
130,9525,763,51,2,Good
131,8832,337,82,3,Good
132,11051,8,60,1,Good
133,4917,632,19,1,Good
134,14312,236,70,2,Good
135,19540,119,100,1,Good
136,11386,132,22,3,Good
137,8596,690,21,1,Good
138,8713,490,15,1,Good
139,14138,488,68,1,Good
140,15084,505,43,4,Good
141,1055,244,78,3,Good
142,8154,107,74,1,Good
