customer_id,customer_name,city,age
1,Customer_1,Delhi,23
2,Customer_2,Delhi,41
3,Customer_3,Mumbai,60
4,Customer_4,Pune,34
5,Customer_5,Lucknow,31
6,Customer_6,Lucknow,20
7,Customer_7,Lucknow,28
8,Customer_8,Jaipur,58
9,Customer_9,Jaipur,50
10,Customer_10,Pune,52
11,Customer_11,Jaipur,50
12,Customer_12,Pune,20
13,Customer_13,Delhi,41
14,Customer_14,Jaipur,38
15,Customer_15,Jaipur,45
16,Customer_16,Lucknow,28
17,Customer_17,Lucknow,29
18,Customer_18,Mumbai,32
19,Customer_19,Delhi,29
20,Customer_20,Pune,29
21,Customer_21,Mumbai,50
22,Customer_22,Lucknow,41
23,Customer_23,Lucknow,53
24,Customer_24,Mumbai,46
25,Customer_25,Jaipur,51
26,Customer_26,Pune,55
27,Customer_27,Pune,41
28,Customer_28,Jaipur,28
29,Customer_29,Jaipur,47
30,Customer_30,Lucknow,33
31,Customer_31,Jaipur,35
32,Customer_32,Jaipur,50
33,Customer_33,Lucknow,40
34,Customer_34,Jaipur,47
35,Customer_35,Pune,54
36,Customer_36,Lucknow,47
37,Customer_37,Jaipur,60
38,Customer_38,Mumbai,38
39,Customer_39,Mumbai,57
40,Customer_40,Pune,48
41,Customer_41,Pune,37
42,Customer_42,Lucknow,53
43,Customer_43,Lucknow,50
44,Customer_44,Lucknow,55
45,Customer_45,Jaipur,37
46,Customer_46,Mumbai,49
47,Customer_47,Lucknow,41
48,Customer_48,Lucknow,22
49,Customer_49,Pune,18
50,Customer_50,Mumbai,24
51,Customer_51,Delhi,54
52,Customer_52,Delhi,35
53,Customer_53,Lucknow,32
54,Customer_54,Delhi,51
55,Customer_55,Mumbai,35
56,Customer_56,Mumbai,31
57,Customer_57,Delhi,45
58,Customer_58,Delhi,21
59,Customer_59,Pune,41
60,Customer_60,Mumbai,33
61,Customer_61,Delhi,23
62,Customer_62,Delhi,22
63,Customer_63,Delhi,20
64,Customer_64,Delhi,41
65,Customer_65,Pune,26
66,Customer_66,Mumbai,29
67,Customer_67,Lucknow,18
68,Customer_68,Jaipur,55
69,Customer_69,Delhi,33
70,Customer_70,Mumbai,20
71,Customer_71,Delhi,40
72,Customer_72,Lucknow,58
73,Customer_73,Delhi,36
74,Customer_74,Pune,49
75,Customer_75,Delhi,37
76,Customer_76,Jaipur,53
77,Customer_77,Lucknow,20
78,Customer_78,Pune,43
79,Customer_79,Lucknow,27
80,Customer_80,Jaipur,32
81,Customer_81,Delhi,60
82,Customer_82,Pune,24
83,Customer_83,Delhi,46
84,Customer_84,Mumbai,51
85,Customer_85,Lucknow,43
86,Customer_86,Jaipur,50
87,Customer_87,Pune,27
88,Customer_88,Pune,34
89,Customer_89,Pune,56
90,Customer_90,Jaipur,59
91,Customer_91,Delhi,53
92,Customer_92,Mumbai,60
93,Customer_93,Delhi,34
94,Customer_94,Delhi,26
95,Customer_95,Mumbai,28
96,Customer_96,Delhi,47
97,Customer_97,Mumbai,50
98,Customer_98,Delhi,33
99,Customer_99,Mumbai,46
100,Customer_100,Delhi,34
101,Customer_101,Delhi,55
102,Customer_102,Mumbai,57
103,Customer_103,Lucknow,41
104,Customer_104,Pune,45
105,Customer_105,Pune,51
106,Customer_106,Delhi,27
107,Customer_107,Delhi,42
108,Customer_108,Jaipur,28
109,Customer_109,Delhi,50
110,Customer_110,Delhi,33
111,Customer_111,Delhi,24
112,Customer_112,Delhi,29
113,Customer_113,Mumbai,24
114,Customer_114,Mumbai,19
115,Customer_115,Lucknow,60
116,Customer_116,Jaipur,47
117,Customer_117,Pune,52
118,Customer_118,Jaipur,31
119,Customer_119,Mumbai,45
120,Customer_120,Jaipur,50
121,Customer_121,Delhi,55
122,Customer_122,Lucknow,21
123,Customer_123,Jaipur,51
124,Customer_124,Lucknow,29
125,Customer_125,Delhi,60
126,Customer_126,Jaipur,41
127,Customer_127,Delhi,51
128,Customer_128,Delhi,57
129,Customer_129,Pune,36
